NONE             0x00000000
RIGHT            0x00000001
MIDDLE           0x00000002
LEFT             0x00000004
BUTTON4          0x00000008
BUTTON5          0x00000010
BUTTON6          0x00000020
BUTTON7          0x00000040
BUTTON8          0x00000080
BUTTON9          0x00000100
BUTTON10         0x00000200
BUTTON11         0x00000400
BUTTON12         0x00000800
BUTTON13         0x00001000
BUTTON14         0x00002000
BUTTON15         0x00004000
BUTTON16         0x00008000
BUTTON17         0x00010000
BUTTON18         0x00020000
BUTTON19         0x00040000
BUTTON20         0x00080000
BUTTON21         0x00100000
BUTTON22         0x00200000
BUTTON23         0x00400000
BUTTON24         0x00800000
BUTTON25         0x01000000
BUTTON26         0x02000000
BUTTON27         0x04000000
BUTTON28         0x08000000
BUTTON29         0x10000000
BUTTON30         0x20000000
BUTTON31         0x40000000
BUTTON32         0x80000000
